propertyType,features,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,assessorID,legalDescription,property_id
Single Family,"{""architectureType"": ""Bi-Level"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood Frame"", ""floorCount"": 1, ""foundationType"": ""Other"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 7, ""unitCount"": 1}",4.0,2.0,1670.0,6000.0,2004.0,36202.0922,NORTHPOINTE COMMONS PUD LT 22,11
Single Family,NaN,0.0,0.0,0.0,0.0,0.0,Unknown,Not available,12
Single Family,"{""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",3.0,2.0,1820.0,8396.0,1993.0,335340-0360,HILLMANS CD PACIFIC CITY DIV #1 LOT 4 OF PACIFIC SHORT PLAT #91-PAC-5 REC #9303099002 SD SP DAF - LOTS 21 THRU 23 BLK 2 IN,13
Single Family,"{""architectureType"": ""Condo / Apartment"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""unitCount"": 1}",2.0,2.0,831.0,6996.0,1993.0,445-352-19-06,LP0008PG036 BLK 106*US 6 PER DOC92-427235&UND INT IN LOTS 39&40 IN,14
Single Family,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""foundationType"": ""Other"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Steam"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",2.0,1.0,900.0,22216.0,1982.0,9638-84-2945-00000,DEED DATE:08/23/2017 DEED:5582-1796 SUBDIV:FRENCH BROAD TERR LOT:113 PT 114 & 112 PLAT:0007-0072,15
Manufactured,"{""architectureType"": ""Mobile Home""}",0.0,0.0,896.0,0.0,2021.0,1-31820-0000-00-039222,GREENBRIAR MHPLOT 39,16
Condo,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Gas"", ""roomCount"": 4, ""unitCount"": 1}",2.0,2.5,1024.0,653.0,1996.0,010-234488,BLENDON PARK CONDOMINIUM UNIT 9A,17
Single Family,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",4.0,1.5,1960.0,10280.0,1984.0,16-11-18-228-019,50-11-18-228-019 D 140 79S SUNFIELD ESTATES SUBDIVISION LOT 140.,18
Single Family,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached Garage"", ""heating"": true, ""heatingType"": ""Steam"", ""roomCount"": 7, ""unitCount"": 1}",3.0,2.0,2320.0,17468.0,1963.0,08-29-23-33-0001,SECTION 8 TOWN 29 RANGE 23 SUB TO HWY AND ST AND EX W 268 5/1O FT THE N 1OO FT OF S 643 66/1OO FT OF E 1/2 OF W 1/2 OF SW 1/4,19
Single Family,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Shingle"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 8, ""unitCount"": 1}",4.0,2.5,2316.0,11326.0,2002.0,5-273 -422,L14 BE PARK @ APALACHEE WOODS2,20
Land,"{""cooling"": true, ""coolingType"": ""Wall"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 6, ""unitCount"": 1}",4.0,1.0,1141.0,5401.0,1900.0,16H-3-1-119-8,KIENLEN ADDITION LOT PT 6,21
Single Family,"{""exteriorType"": ""Concrete"", ""unitCount"": 1}",0.0,0.0,1166.0,8888.0,1958.0,02  00105-  06-00016,LOT:16 BLK:105.06 DIST:02 CITY/MUNI/TWP:EWING TWP MAP REF:TAX MAP 10,22
Condo,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",2.0,1.0,1032.0,0.0,1978.0,MILF M:99 B:836 L:6352-2,LOT:6352-2 BLK:836 CITY/MUNI/TWP:MILFORD SUBD:FOXWOOD # 3,23
Single Family,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",4.0,2.5,3000.0,11560.0,2011.0,26-445973,"LOT 60 PH 6 PL 1 11,560 SQ. FT. SUN MEADOW",24
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""garage"": true, ""garageType"": ""Garage"", ""unitCount"": 1}",0.0,0.0,2232.0,7446.0,2001.0,18-15-376-018,DOC 2019R0024093 LT 837 MEADOWBROOK UNIT 19,25
Single Family,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Evaporative"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roomCount"": 12, ""unitCount"": 1}",4.0,3.0,2796.0,0.0,1977.0,B42-0001-0014.0-0093.00,SPICER HEIGHTS 6 ALL LOT 95 2422 S OLD OAKS DR,26
Multi-Family,"{""architectureType"": ""Duplex"", ""floorCount"": 2, ""unitCount"": 2}",0.0,0.0,1782.0,2500.0,1910.0,01564-0030,Not available,27
Condo,"{""architectureType"": ""Condo / Apartment"", ""unitCount"": 1}",2.0,2.0,1291.0,0.0,1980.0,48-42-29-DK-0150,LUCAYA VILLAGE 2-C CONDO UNIT A-2 PER CDO BK/PG: 9273/620,28
Single Family,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""roofType"": ""Composition Shingle"", ""roomCount"": 7, ""unitCount"": 1}",4.0,2.0,2242.0,45302.0,2016.0,R-086-4350-0400,WILDFLOWER VILLAGE # 1LOT 012 BLOCK 0004,29
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 4, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 11}",3.0,2.5,1637.0,14810.0,1986.0,29-14-08-303-020.000-018,"ACREAGE .34, SECTION 8, TOWNSHIP 17, RANGE 4, BRIAR LANE ESTATES, SECTION 4, LOT 160",30
Single Family,"{""exteriorType"": ""Wood"", ""floorCount"": 1, ""foundationType"": ""Stone"", ""heating"": true, ""heatingType"": ""Floor / Wall"", ""roofType"": ""Composition Shingle"", ""roomCount"": 4}",2.0,0.0,676.0,5227.0,1900.0,141-12-0-40-24-006.00-0,"GARFIELD PARK ADDITION, S12, T29, R14, BLOCK 007, LOT 14",31
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",2.0,1.0,720.0,6150.0,1918.0,45-06-01-483-008.000-023,CALUMET HEIGHTS ALL LOTS 32 & 33 BL.2,32
Single Family,"{""architectureType"": ""Condo / Apartment"", ""exteriorType"": ""Brick"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Basement"", ""roomCount"": 6, ""unitCount"": 1, ""viewType"": ""Average""}",3.0,1.0,1120.0,1312.0,1949.0,34-3-1872-00,88 42/100' SW 76TH ST,33
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Footing"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",3.0,2.0,1558.0,10454.0,1994.0,5509 05 4466,LT 140 RIDGE CROSSING,34
Single Family,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""floorCount"": 2, ""foundationType"": ""Other"", ""garage"": true, ""garageType"": ""Basement"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Shingle"", ""roomCount"": 6, ""unitCount"": 1}",0.0,2.5,2035.0,7600.0,1959.0,11-427-00-0030,TOWN #3 SCH DIST 017,35
Single Family,"{""floorCount"": 2, ""unitCount"": 1}",2.0,2.0,1236.0,1346.0,1984.0,74-42-43-01-09-000-1791,VILLAGE OF SANDALWOOD LAKES PL 3 LT 179A,36
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""foundationType"": ""Other"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",3.0,1.0,1215.0,8364.0,1975.0,R29559,"MAGNOLIA PARK, LOT 9, ACRES 0.192",37
Single Family,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""unitCount"": 1}",2.0,1.0,828.0,0.0,1954.0,14-27-229-002,GRAND PARK SUB NO 2 NE 1/4 SEC 27-9-8E LOT 17,38
Single Family,"{""exteriorType"": ""Log"", ""floorCount"": 2, ""foundationType"": ""Masonry"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""fireplace"": true, ""garage"": true, ""garageType"": ""Attached""}",2.0,2.0,1178.0,2000275.0,1980.0,132-   -0090,HSE/ACC/45.92AC W WAYSIDE RD,39
Apartment,NaN,2.0,2.0,1177.0,0.0,0.0,Unknown,Not available,40
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 3, ""unitCount"": 1}",3.0,3.0,2444.0,10001.0,2016.0,07-11-31-7023-00570-0120,PALM COAST SECTION 23 BLOCK 00057 LOT 0012 SUBDIVISION COMPLETION YEAR 1980 OR 188 PG 503 OR 808 PG 1814 OR 903 PG 1093 OR 20,41
Single Family,NaN,2.0,2.0,2456.0,21000.0,1940.0,R11539,"ORIGINAL TOWN RALLS BLOCK 65 LOT 21,22,23,24",42
Condo,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",3.0,5.0,2181.0,4050.0,1979.0,511-023-021,UNIT 21 CM 022/143 INT IN COMMON TR 10357 MB 096/086,43
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",3.0,2.0,1740.0,9497.0,1986.0,26239060040130000,GLENBROOK MEADOWS 11 BLK 4 LT 13 INT20070417748 DD11162007 CO-DC 2390600401300 1CG23906004,44
Single Family,"{""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Other"", ""heating"": true, ""heatingType"": ""Gas"", ""roofType"": ""Asphalt"", ""unitCount"": 1, ""garage"": true, ""garageType"": ""Carport""}",3.0,1.0,1316.0,7335.0,1956.0,S6600-00-04009-0,EVERGRN TERR LOT 9 BLK 4,45
Single Family,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Other"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Asphalt"", ""roomCount"": 8, ""unitCount"": 1}",4.0,2.5,2052.0,19602.0,1985.0,MERI M:904 B:316L L:8-52M,LOT:8-52M BLK:316L CITY/MUNI/TWP:MERIDEN,46
Single Family,"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""pool"": true, ""unitCount"": 1}",3.0,1.0,2104.0,8580.0,1958.0,443-123-08,LOT 25 TRACT NO 1620 PRINCETON PARK NO 2,47
Single Family,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Other"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Other"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 7}",4.0,2.5,2284.0,8712.0,2007.0,10-715-00-03-041-00,PINE GROVE MEADOWS 2ND PLAT LT 103,48
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 10, ""unitCount"": 1}",5.0,4.5,3883.0,12632.0,1993.0,R-2711-00E-0110-1,"LAKESIDE ON PRESTON PHASE 3A (CPL), BLK E, LOT 11",49
Single Family,"{""architectureType"": ""Ranch"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Floor / Wall"", ""roomCount"": 4, ""unitCount"": 1}",2.0,1.0,945.0,5662.0,1949.0,039-030-029-000,RICHLAND TRACT BLOCK 3645 LOT 17,50
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Garage"", ""roofType"": ""Composition Shingle""}",3.0,2.0,2569.0,29621.0,2007.0,134-20-09-002.11,24-12A-11 .68 AC MEADOWLAND SUBE L11,51
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 3, ""unitCount"": 1}",3.0,3.0,1544.0,6360.0,1997.0,R0389708,LOT 266 HIGHLANDS RANCH #120-B. 0.146 AM/L,52
Single Family,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""foundationType"": ""Wood"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle"", ""roomCount"": 8}",4.0,3.5,2009.0,14000.0,2011.0,39-00-02-1-005-003.000,LOT 7-A JEFFERSON HIGHLANDS RESUR LOTS 7-14 BLK 8 PB 225 PG 94,53
Single Family,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""Other"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",2.0,1.0,1215.0,10288.0,1952.0,13000010,LOT 4 WELLS PLACE,54
Single Family,"{""architectureType"": ""Duplex"", ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 4, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 2}",2.0,0.0,888.0,12327.0,1942.0,49-07-19-133-098.000-101,RUCKLES ADD PT L1 70 X 175.51FT BEG 154.6FT W OFWL BALTIMORE & 34TH ST,55
Single Family,NaN,3.0,2.0,960.0,0.0,0.0,Unknown,Not available,56
Single Family,"{""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""roofType"": ""Other"", ""unitCount"": 1}",3.0,2.0,1392.0,6000.0,1952.0,30-3111-002-0030,ARCOLA GDNS RESUB PB 50-17 LOT 3 BLK 6 LOT SIZE 60.000 X 100,57
Single Family,NaN,4.0,2.0,1431.0,18208.0,1959.0,Unknown,Not available,58
Multi-Family,"{""exteriorType"": ""Other"", ""floorCount"": 2, ""foundationType"": ""Other"", ""garage"": true, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Composition Shingle"", ""unitCount"": 8}",16.0,8.0,7434.0,12197.0,1971.0,85073-15-002,"LOT 2, BLK 4, MC KEE MEADOWS 2ND, LOV",59
Single Family,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",3.0,1.5,1103.0,1960.0,1987.0,025-3-10-0143,HIGHLAND MEWS LT 143 SEC 3,60
Single Family,NaN,2.0,2.0,1470.0,219107.0,2004.0,Unknown,Not available,61
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""exteriorType"": ""Brick / Stone""}",5.0,3.0,2879.0,6708.0,2017.0,R150861,"THE RETREAT ON WILLOW CREEK PH 4, BLOCK C, LOT 12",62
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Vinyl"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Brick"", ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 7}",2.0,1.0,2352.0,5700.0,1925.0,070910801500,L 172 FOREST PARK ADD,63
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Ribbed Aluminum"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 10, ""unitCount"": 1}",4.0,3.0,2200.0,11326.0,1992.0,12-02-19-203-012,"LOT 48 IN LAKEWOOD FARMS SUB PHASE 1, BEING A SUB OF PRT OF THE NE1/4 SEC. 19 T37N-R10E.",64
Single Family,"{""architectureType"": ""Raised Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Vinyl"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab"", ""garage"": true, ""garageType"": ""Attached Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",3.0,2.0,1964.0,34412.0,2009.0,2-1500-00761,LOT 53 BENT RIVER SUB PB 160-142,65
Single Family,"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Baseboard"", ""roomCount"": 8, ""unitCount"": 1}",4.0,2.5,2594.0,43703.0,2001.0,02-03-007-000-186,OAK POINT ESTATES SUB #3 142 X 307.77,66
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central""}",0.0,2.0,2344.0,0.0,2014.0,R-20-5695-0001-0026,"S10454 - TERAVISTA SEC 322B & 323, BLOCK 1, LOT 26",67
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",3.0,2.0,1365.0,9148.0,2005.0,29077135 0,01-2N-2W SE RIVER MEADOW PH 1 LT 34 BLK 2,68
Single Family,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Raised"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 9, ""unitCount"": 1}",0.0,3.0,3259.0,41382.0,1982.0,0797.05-18-6202 0121985,LO419 STONEHENGE 4 SE15 BM1982-00372,69
Single Family,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""unitCount"": 1}",3.0,2.0,1694.0,8590.0,1997.0,08-45-26-02-0000B.0110,GATEWAY PARCEL 23 PH 1 PB 53 PGS 63-80 BLK B LOT 11,70
Single Family,"{""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",0.0,1.0,610.0,3920.0,1941.0,57 004 20 0026 002,08856 N 14 FT OF LOT 26 ALSO S 24 FT OF LOT 27 ANN SUB P. C. 112 T3S R11E L47 P76 WCR,71
Manufactured,"{""architectureType"": ""Mobile Home"", ""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 3, ""unitCount"": 1}",2.0,0.0,896.0,7500.0,1988.0,1430-702-0045-000-6,GREEN ACRES-UNIT 3- BLK 6 LOT 5 (OR 3246-855),72
Single Family,NaN,5.0,2.5,10158.0,217800.0,2016.0,Unknown,Not available,73
Condo,"{""architectureType"": ""Condo / Apartment"", ""floorCount"": 1, ""unitCount"": 1}",2.0,2.0,1000.0,0.0,1976.0,33-40-19-00002-0150-00206.0,VISTA ROYALE PHASE I BLDGS 1-29 BLDG 15 APT 206 OR BK 514 PP 715,74
Single Family,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Built-in"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",5.0,3.0,2824.0,9603.0,1988.0,06-405-90053182,LT 171 SCS 3A 3B 4A 324 RIDING RIDGE RD HUNT MEADOW,75
